Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
298.15,785.33,0.12,Liquid-Gas,Experimental,NIST,Authors: Oh, J.-H.;Hwang, I.-C.;Park, S.-J. Title: Isothermal vapor liquid equilibrium at 333.15K and excess molar volumes and refractive indices at 298.15K for the mixtures of di-methyl carbonate, ethanol and 2,2,4-trimethylpentane Citation: Fluid Phase Equilib.,2009,276, 142-149,,,,,
298.15,784.96,0.41,Liquid-Gas,Experimental,NIST,Authors: Ortega, J.;Galvan, S. Title: Vapor-Liquid Equilibria of Propyl Propanoate with 1-Alkanols at 101.32 kPa of Pressure Citation: J. Chem. Eng. Data,1994,39, 907-910,,,,,,,,,
298.15,785.2,0.3,Liquid-Gas,Experimental,NIST,Authors: Papaioannou, D.;Panayioton, C. Title: Viscosity of Binary Mixtures of Propylamine with Alkanols at Moderately High Pressures Citation: J. Chem. Eng. Data,1995,40, 202-9,,,,,,,,,
298.15,785.07,1.25,Liquid-Gas,Experimental,NIST,Authors: Papanastasiou, G. E.;Ziogas, I. I. Title: Physical Behavior of Some Reaction Media. Density, Viscosity, Dielectric Constant, and Refractive Index Changes of Ethanol-Cyclohexane Mixtures at Several Temperatures Citation: J. Chem. Eng. Data,1991,36, 46-51,,,,,,
298.15,785.49,0.22,Liquid-Gas,Experimental,NIST,Authors: Peng, I.-H.;Tu, C. -H. Title: Densities and Viscosities of Acetone, Diisopropyl Ether, Ethanol, and Methyl Ethyl Ketone with a Five-Component Hydrocarbon Mixture from 288.15 K to 308.15 K Citation: J. Chem. Eng. Data,2002,47, 1457-61,,,,,,
298.15,784.93,0.15,Liquid-Gas,Experimental,NIST,Authors: Pettenati, C.;Alessi, P.;Fermeglia, M.;Kikic, I. Title: Excess volumes of binary mixtures containing morpholine Citation: Thermochim. Acta,1990,162, 203-12,,,,,,,
298.15,785.41,0.15,Liquid-Gas,Experimental,NIST,Authors: Qian, W.;Xu, Y. J.;Zhu, H.;Yu, C. Title: Properties of pure 1-methylimidazolium acetate ionic liquid and its binary mixtures with alcohols Citation: J. Chem. Thermodyn.,2012,49, 87-94,,,,,,,
298.15,785.36,0.23,Liquid-Gas,Experimental,NIST,Authors: Resa, J. M.;Gonzalez, C.;Goenaga, J. M. Title: Density, Refractive Index, Speed of Sound at 298.15 K, and Vapor-Liquid Equilibria at 101.3 kPa for Binary Mixtures of Methanol + 2-Methyl-1-butanol and Ethanol + 2-Methyl-1-butanol Citation: J. Chem. Eng. Data,2005,50, 1570-1575,,,,,
298.15,785.2,0.4,Liquid-Gas,Experimental,NIST,Authors: Ritzoulis, G.;Fidantsi, A. Title: Relative Permittivities, Refractive Indices, and Densities for the Binary Mixtures N,N'-Dimethylacetamide with Methanol, Ethanol, 1-Butanol, and 2-Propanol at 298.15 K Citation: J. Chem. Eng. Data,2000,45, 207-209,,,
298.15,785.04,0.5,Liquid-Gas,Experimental,NIST,Authors: Sanchez-Russinyol, M. d. C.;Aucejo, A.;Loras, S. Title: Isobaric vapor liquid equilibrium for ternary mixtures of ethanol and methylcyclohexane with 3-methylpentane and tert-butyl alcohol at 101.3 kPa Citation: Fluid Phase Equilib.,2007,261, 104-110,,,,,,,,
