Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,,,,
298.14437,826.86440855,4.9803302707,Liquid-Gas,Experimental,NIST,Authors: Singh, J.,Benson, G. C. Title: Vapor-liquid equilibrium studies of n-propanol + n-decanol mixtures Citation: Can. J. Chem.,1968,46, 2065-9,,,,,,,,,,,,,,,
298.14437,826.52,0.43,Liquid-Gas,Experimental,NIST,Authors: Treszczanowicz, A. J.,Handa, Y. P.,Benson, G. C. Title: Excess Volumes and Isetropic Compressibilities of Decan-1-ol + 2,2-Dimethylbutane and 2,2,4-Trimethylpentane Citation: J. Chem. Thermodyn.,1982,14, 871-81,,,,,,,,,,
298.14437,826.56,5.02,Liquid-Gas,Experimental,NIST,Authors: Treszczanowicz, A. J.,Kiyohara, O.,Benson, G. C. Title: Excess Volumes for n-Alkanols + n-Alkanes IV. Binary Mixtures of Decan-1-ol + n-Pentane, + n-Hexane, + n-Octane, + n-Decane, and + n-Hexadecane Citation: J. Chem. Thermodyn.,1981,13, 253-60,,,,,,,,,
298.14437,826.44,0.44,Liquid-Gas,Experimental,NIST,Authors: Wagner, D.,Heintz, A. Title: Excess Volumes of Binary 1-Alkanol/Nonane Mixtures at Temperatures Between 293.15 and 333.15 K Citation: J. Chem. Eng. Data,1986,31,483,,,,,,,,,,,,,,,
298.14437,826,0.9,Liquid-Gas,Experimental,NIST,Authors: Wilcock, R. J.,Battino, R.,Danforth, W. F.,Wilhelm, E. Title: The solubility of gases in liquids 11.Solubility of He, Ne, Ar, Kr, O2, N2, CO, CO2, CH4, and SF6 in n-octane 1-octanol, n-decane, and 1-decanol carbon tetrachloride and sulphur hexafluoride in n-oc Citation: J. Chem. Thermodyn.,1978,10, 817-822
298.14437,825.4,0.1,Liquid-Gas,Experimental - Rejected,NIST,Authors: Rauf, M. A.,Stewart, G. H.,Farhat-Aziz Title: Viscosities and Densities of Binary Mixtures of 1-Alkanols from 15 to 55 C Citation: J. Chem. Eng. Data,1983,28, 324-328,,,,,,,,,,,,,,
298.15,826.762,0.429,Liquid-Gas,Experimental,NIST,Authors: Al-Jimaz, A. S.,Al-Kandary, J. A.,Abdul-Latif, A.-H. M. Title: Acoustical and Excess Properties of {Chlorobenzene + 1-Hexanol, or 1-Heptanol, or 1-Octanol, or 1-Nonanol, or 1-Decanol} at (298.15,303.15,308.15, and 313.15) K Citation: J. Chem. Eng. Data,2007,52, 206-214,,,,,,
298.15,826.762,3.767,Liquid-Gas,Experimental,NIST,Authors: Al-Kandary, J. A.,Al-Jimaz, A. S.,Abdul-Latif, A. M. Title: Densities, viscosities, speeds of sound and refractive indices of binary mixtures of tetrahydrofuran with 1-hexanol, 1-heptanol, 1-octanol, 1-nonanol and 1- decanol at 298.15,303.15, 308.15 and 313.15 K Citation: Phys. Chem. Liq.,2009,47, 210-224,,,,,,
298.15,826.562,0.197,Liquid-Gas,Experimental,NIST,Authors: AlTuwaim, M. S.,Alkhaldi, K. H. A. E.,Al-Jimaz, A. S.,Mohammad, A. A. Title: Physico-chemical properties of binary mixtures of N,N-dimethylformamide with  1-octanol, 1-nonanol and 1-decanol at different temperatures Citation: J. Chem. Thermodyn.,2013,58, 367-376,,,,,,,,,
298.15,827.21,2.97,Liquid-Gas,Experimental,NIST,Authors: Basu, M. A.,Samanta, T.,Das, D. Title: Thermodynamics of mixing for binary mixtures of 1-octanol and 1-decanol with n-dodecane and ternary mixture of (TBP + 1-octanol + dodecane) at T = (298.15 to 323.15) K Citation: J. Chem. Thermodyn.,2015,90, 158-168,,,,,,,,,,,,,
298.15,826.36,0.24,Liquid-Gas,Experimental,NIST,Authors: Basu, M. A.,Samanta, T.,Das, D. Title: Volumetric and compressibility studies on tri-n-butyl phosphate (TBP)-phase modifier (1-octanol, 1-decanol and isodecanol) interactions from T = (298.15 to 323.15) K Citation: J. Chem. Thermodyn.,2014,70,01/12/26,,,,,,,,,,,,
298.15,826.526,0.554,Liquid-Gas,Experimental,NIST,Authors: Bhatia, S. C.,Rani, R.,Bhatia, R. Title: Densities, Speeds of Sound, and Refractive Indices of Binary Mixtures of Decan-1-ol with Anisole, o-Cresol, m-Cresol, and p-Cresol at T = (298.15,303.15, and 308.15) K Citation: J. Chem. Eng. Data,2011,56, 1669-1674,,,,,,
298.15,826.42,0.31,Liquid-Gas,Experimental,NIST,Authors: Chaar, M.,Ortega, J.,Placido, J.,Gonzalez, E. Title: Excess volumes of 81 binary liquid mixtures of methyl n-alkanoates (C3 - C1 6) + alkan-1-ols (C2 - C10) at 298.15 K Citation: ELDATA: The International Electronic Journal of Physico-Chemical Data,1995,1, 191-208,,,,,,,,,,,
