Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,
243.074080181,568.3,0.5,Liquid-Gas,Experimental,NIST,Authors: Maass, O.;Wright, C. H. Title: Some Physical Properties of Hydrocarbons Containing Two and Three Carbon Atoms Citation: J. Am. Chem. Soc.,1921,43, 1098-1111,,,,,,,,,,
245.44997776,564.6,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
248.61404448,560.6,0.17,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
248.6675,559.874825445,0.585260028421,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
249.83536664,559.2,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
254.31508,553.6,0,Liquid-Gas,Experimental,NIST,Authors: Carney, B. R. Title: Density of Liquified Petroleum Gas Hydrocarbons, Their Mixtures and Three Natural Gasolines Citation: Hydrocarbon Process.,1942,21,84,,,,,,,,,,
255.414422042,552.2,0,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
258.15337,547.34823665,1.55579909419,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27, 1-11 (Derived),,,,,,,,,,
260,545.88,0.135,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,
264.6739,539.552795314,0.573782035138,Liquid-Gas,Experimental,NIST,Authors: Defibaugh, D. R.;Moldover, M. R. Title: Compressed and saturated liquid densities for 18 halogenated organic compounds Citation: J. Chem. Eng. Data,1997,42, 160-168 (Derived),,,,,,,,,,
266.48863336,538.4,0.07,Liquid-Gas,Experimental,NIST,Authors: Legatski, T.W.;Nelson, W.R.;Dean, M.R.;Fruit, L.R. Title: Densities of Liquefied Petroleum Gases, Citation: Ind. Eng. Chem.,1942,34, 1240-1243,,,,,,,
270,532.67,0.28,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,
270.001,532.3963101,0.5335737,Liquid-Gas,Experimental,NIST,Authors: Haynes, W. M.;Hiza, M. J. Title: Measurements of the Orthobaric Liquid Densities of Methane, Ethane, Propane, Isobutane, and Normal Butane Citation: J. Chem. Thermodyn.,1977,9, 179-87,,,,,,
