Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,
298.2,862.6,8,Liquid-Gas,Experimental,NIST,Authors: Gu, Z.;Brennecke, J. F. Title: Volume Expansivities and Isothermal Compressibilities of Imidazolium and Pyridinium-Based Ionic Liquids Citation: J. Chem. Eng. Data,2002,47, 339-345,,,,,,,,,,,
298.2,862.259030507,5.00281301623,Liquid-Gas,Experimental,NIST,Authors: Letcher, T. M.;Deenadayalu, N. Title: Ternary Liquid-Liquid Equilibria for Mixtures of an Alkane + an Aromatic Compound + 1,3-Dimethyl-2-imidazolidinone at 298.2 K and 1 atm Citation: J. Chem. Eng. Data,2001,46, 177-183,,,,,,,,,,
303.134,857.7,0.5,Liquid-Gas,Experimental,NIST,Authors: Bridgman, P. W. Title: The Effect of Pressure on the Viscosity of Forty-Three Pure Liquids Citation: Proc. Am. Acad. Arts Sci.,1926,61, 57-99,,,,,,,,,,,,
303.134,857.6,0.5,Liquid-Gas,Experimental,NIST,Authors: Dessart, A. Title: Theory of Concentrated Solutions: III. Physical Constants of Mixtures of m-Nitrotoluene and m-Toluidine with Some Hydrocarbons Citation: Bull. Soc. Chim. Belg.,1926,35,9,,,,,,,,,,,,
303.134,857.4,5.1,Liquid-Gas,Experimental,NIST,Authors: Sumer, K. M.;Thompson, A. R. Title: Refraction, Dispersion, and Densities for Methanol Solutions of Benzene, Toluene, Aniline, and Phenol Citation: J. Chem. Eng. Data,1967,12,489,,,,,,
303.143055,857.64,4.22,Liquid-Gas,Experimental,NIST,Authors: Govindappa, J.;Rambabu, K.;Venkateswarlu, P.;Raman, G. K. Title: Volumetric Behaviour of an Aromatic Hydrocarbon with 1-Chlorobutane Citation: Phys. Chem. Liq.,1988,18, 273-277,,,,,,,,,
303.143055,857.45,0.48,Liquid-Gas,Experimental,NIST,Authors: Myers, R. S.;Clever, H. L. Title: Surface tension and density of some hydrocarbon + alcohol mixtures at 303.1 5 deg K Citation: J. Chem. Thermodyn.,1974,6,949,,,,,,,,,,,
303.143055,857.72,5.42,Liquid-Gas,Experimental,NIST,Authors: Ramanjaneyulu, K.;Reddy, D. V. B.;Krishnaiah, A. Title: Viscosities of binary liquid mixtures of tetrachloroethylene with some aliphatic, alicyclic and substituted aromatic hydrocarbons Citation: Phys. Chem. Liq.,1989,20,195,,,,,,,,,
303.15,857.5,6,Liquid-Gas,Experimental,NIST,Authors: Abu-Daabes, M. A.;Awwad, A. M.;Al-Ani, H. A. Title: Densities and volumetric properties of (N-acetylmorpholine + aromatic  hydrocarbon) binary mixtures from T = (293.15 to 343.15) K Citation: J. Chem. Thermodyn.,2009,41, 123-129,,,,,,,,,,
303.15,857.6,0.6,Liquid-Gas,Experimental,NIST,Authors: Baragi, J. G.;Aralaguppi, M. I. Title: Excess and deviation properties for the binary mixtures of methylcyclohexane with benzene, toluene, p-xylene, mesitylene, and anisole at T = (298.15,303.15, and 308.15) K Citation: J. Chem. Thermodyn.,2006,38, 1717-1724,,,,,
