Temperature ( K ),density ( kg/m 3 ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
263.05239,983.756797012,21.4602657611,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. P. Title: Experimental determination of the density of carbon dioxide at temperatures 0 to -50c and pressures up to 500 bars Citation: Teploenergetika,1970,17, 69-70 (Derived),,,,
263.05239,982.289267206,10.3545001924,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
263.10238,982.527673783,1.88883873378,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
263.3148,981.93,0.35,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
263.3187,981.93,0.35,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
265,973.213,0.551,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
265.002,973.567098,0.038947965,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
266.571686,964.853316,0,Liquid-Gas,Experimental,NIST,Authors: Esper, G. J. Title: Direct and Indirect p-v-t Measurement of Fluids Citation: Fortschr.-Ber. VDI Z., Reihe,1987, No. 148,,,,,,
267.35464,960.4,0.5,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
268.061388,952.985379802,10.4226164197,Liquid-Gas,Experimental,NIST,Authors: Bashkatov, N. V.;Ermakov, G. V. Title: Study of the pressure, volume, temperature data for liquid carbon dioxide in the metastability region Citation: Teplofiz. Vys. Temp.,1987,25, 178 (Derived),,,
268.30134,956.7,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
268.30134,956.78,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
270,945.793,0.589,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
270.001,946.369536,0.03784774,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
270.490844444,940.628451571,6.32029880356,Liquid-Gas,Experimental,NIST,Authors: Bashkatov, N. V.;Ermakov, G. V. Title: Study of the pressure, volume, temperature data for liquid carbon dioxide in the metastability region Citation: Teplofiz. Vys. Temp.,1987,25, 178 (Derived),,,
271.35144,937.8,0.5,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
273.100015873,928.702935687,19.0505352479,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. N. Title: Carbon dioxide density in the -50 to +2000 range at up to 500 bars Citation: Teploenergetika,1970, , 136-141 (Derived),,,,
273.100015873,928.702935687,19.0505352479,Liquid-Gas,Experimental,NIST,Authors: Kirillin, V. A.;Ulybin, S. A.;Zherdev, E. P. Title: Experimental determination of the density of carbon dioxide at temperatures 0 to -50c and pressures up to 500 bars Citation: Teploenergetika,1970,17, 69-70 (Derived),,,,
273.100015873,927.797574003,3.39201713989,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Kobelev, V. P.;Timoshenko, N. I. Title: Density of carbon dioxide at 0 - 35 c and up to 300 bars Citation: Teploenergetika,1968,15, 81-83 (Derived),,,,
273.100015873,927.6,0,Liquid-Gas,Experimental,NIST,Authors: Vukalovich, M. P.;Timoshenko, N. I.;Kobelev, V. P. Title: Experimental study of carbon dioxide density at temperatures below 0 c Citation: Teploenergetika,1970,17, 59-60,,,,
273.10004,930.955296051,13.7422464539,Liquid-Gas,Experimental,NIST,Authors: Kennedy, G. C. Title: Pressure-volume-temperature relations in carbon dioxide at elevated temperatures and pressures Citation: Am. J. Sci.,1954,252, 225-241 (Derived),,,,,,
273.15,927.957270519,0.828625798533,Liquid-Gas,Experimental,NIST,Authors: Mazzoccoli, M.;Bosio, B.;Arato, E. Title: Pressure-density-temperature measurements of binary  mixtures rich in CO2 for CCS applications Citation: J. Chem. Eng. Data,2012,57, 2774-2783 (Derived),,,,
273.17999562,926.623202135,11.349272698,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: Density of carbon dioxide in the liquid phase Citation: Teploenergetika,1970,17, 76 (Derived),,,,,
273.17999562,926.622037853,1.83816535259,Liquid-Gas,Experimental,NIST,Authors: Popov, V. N.;Sayapov, M. Kh. Title: The density of liquid carbon dioxide Citation: Teploenergetika,1970, , 76 (Derived),,,,,
273.5531,924.89,0.36,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
273.5565,924.87,0.36,Liquid-Gas,Experimental,NIST,Authors: Saleh, B.;Wendland, M. Title: Measurement of Vapor Pressures and Saturated Liquid Densities of Pure Fluids with a New Apparatus Citation: J. Chem. Eng. Data,2005,50, 429-437,,,,,
274.34928,919.8,0.5,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
274.999729927,916.751479,0.036659497,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
275,916.137,0.638,Liquid-Gas,Experimental,NIST,Authors: Duschek, W.;Kleinrahm, R.;Wagner, W. Title: Measurement and correlation of the (pressure, density, temperature) relation of carbon dioxide. II. Saturated-liquid and saturated-vapo densities and the vapor pressure along the entire coexistence c Citation: J. Chem. Thermodyn.,1990,22, 841-64,,
279.34628,887.8,0.6,Liquid-Gas,Experimental,NIST,Authors: Lowry, H. H.;Erickson, W. R. Title: The Densities of Coexisting Liquid and Gaseous Carbon Dioxide and the Solubility of Water in Liquid Carbon Dioxide. Citation: J. Am. Chem. Soc.,1927,49, 2729-2734,,,,,
279.999,884.184819,0.035383236,Liquid-Gas,Experimental,NIST,Authors: Diller, D. E.;Ball, M. J. Title: Shear viscosity coefficients of compressed gaseous and liquid carbon dioxide at temperatures between 220 and 320 K and at pressures to 30 MPa Citation: Int. J. Thermophys.,1985,6,619,,,,,
