T,eta,phase,,,,,,,,,,,,,,,,,
298.15,0.004436,liquid,Authors: Dubey, G. P.;Kumar, R. Title: Densities, speeds of sound and viscosities of binary mixtures of tetrahydrofuran with 1-hexanol, 1-octanol and 1-decanol at T = (298.15 to 313.15) K Citation: J. Chem. Thermodyn.,2014,71, 27-36,,,,,,,,,
298.15,0.004597,liquid,Authors: Dubey, G. P.;Sharma, M. Title: Acoustical and excess properties of {1-hexanol+n-hexane, or n-octane, or n-decane} at (298.15,303.15, and 308.15) K Citation: J. Mol. Liq.,2008,142, 124-129,,,,,,,
298.15,0.004595,liquid,Authors: El-Banna, M. M. Title: Densities and viscosities for mixtures of pentyl acetate and hexyl acetate with normal alkanols at 298.15 K Citation: J. Chem. Eng. Data,1997,42, 31-4,,,,,,,,,,,,
298.15,0.004593,liquid,Authors: El-Banna, M. M. Title: Excess molar volumes and viscosities of binary mixtures of propylene carbonate with (C5-C8) n-alkanols at 298.15K Citation: Can. J. Chem.,1997,75, 1890-1895,,,,,,,,,,,,
298.15,0.00458981850982,liquid,Authors: FEDELES, A.;Ciocirlan, O.;Iulian, O. Title: VISCOMETRIC STUDIES OF BINARY DIMETHYL SULFOXIDE + 1-HEXANOL SYSTEM Citation: Rev. Roum. Chim.,2011,56, 571-576,,,,,,,,,,
298.15,0.004862,liquid,Authors: Franjo, C.;Jimenez Cuesta, E.;Iglesias, T. P.;Legido, J. L.;Paz Andrade, M. I. Title: Viscosities and Densities of Hexane + Butan-1-ol, + Hexan-1-ol, and + Octan-1-ol at 298.15 K Citation: J. Chem. Eng. Data,1995,40, 68-70,,,,,,
298.15,0.004862,liquid,Authors: Franjo, C.;Menaut, C. P.;Jimenez Cuesta, E.;Legido, J. L.;Paz Andrade, M. I. Title: Viscosities and Densities of Octane + Butan-1-ol, Hexan-1-ol, and Octan-1- ol at 298.15 K Citation: J. Chem. Eng. Data,1995,40, 992-4,,,,,,
298.15,0.00459,liquid,Authors: Hoyuelos, F. J.;Garcia, B.;Alcalde, R.;Ibeas, S.;Leal, J. M. Title: Shear viscosities of binary mixtures of pyrrolidin-2-one with C6-C10 n-alkan-1-ols Citation: J. Chem. Soc., Faraday Trans.,1996,92, 219-225,,,,,,,
298.15,0.0045406,liquid,Authors: Liew, K. Y.;Seng, C. E.;Ng, B. H. Title: Viscosities of long chain n-alcohols from 15 to 80.degree.C Citation: J. Solution Chem.,1993,22, 1033-1040,,,,,,,,,,
298.15,0.0044997,liquid,Authors: Lorenzi, L. D.;Fermeglia, M.;Torriano, G. Title: Densities and Viscosities of 1,1,1-Trichloroethane with 13 Different Solvents at 298.15 K Citation: J. Chem. Eng. Data,1995,40, 1172-1177,,,,,,,,
