Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,
278.147,11.7844,0.249,Liquid-Gas,Experimental - Rejected,NIST,Authors: Radulescu, D.;Alexa, M. Title: Vapor Pressure Measurements fr New Dynamic and Static Methods. The Applicability of the Reaction Isochore to the Measurement of the Latent Heat of Vaporization Citation: Bull. Soc. Chim. Romania,1938, 20A, 89-113,,,,,
278.642198102,12.417,0.017,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.;Sprake, C. H. S.;Townsend, R. Title: Thermodynamic Properties of Organic Oxygen Compounds XXXIII. The Vapor Pressure of Acetone Citation: J. Chem. Thermodyn.,1974,6,693,,,,
279.466208,12.7336,0.05153,Liquid-Gas,Experimental,NIST,Authors: Sokolov, V. V.;Zhilina, L. P.;Mishchenko, K. P. Title: Thermodynamics of Evaporation of Acetone at Different Temperatures Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 750-4,,,,
283.014078,15.92136,1.3119054,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
283.144,15.4121,0.0267,Liquid-Gas,Experimental,NIST,Authors: Sameshima, J. Title: On the system acetone - ethyl ether Citation: J. Am. Chem. Soc.,1918,40, 1482-1503,,,,,,
283.148055,14.0788,2.27981917,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barraza, R.;Diaz, S.;Edwards, J.;Tapia, P. Title: Thermodynamics of the systems n-hexane/3-pentanone, n-hexane/3-pentanone and n-heptane/3-pentanone mixtures Citation: Z. Phys. Chem. (Munich),1979,117, 43-54,,
283.15,14.7,0.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Matvienko, V. G.;Yarym-Agaev, N. L. Title: Liquid-vapor equilibrium in the system n-butane-acetone Citation: Zh. Prikl. Khim. (S.-Peterburg),1994,67,158,,,,,
283.2,14.7,0.2,Liquid-Gas,Experimental - Rejected,NIST,Authors: Matvienko, V. G.;Yarym-Agaev, N. L. Title: Liquid-vapor equilibrium in the system n-butane-acetone Citation: Zh. Prikl. Khim. (S.-Peterburg),1994,67,158,,,,,
283.623712,15.5854,0.06009,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sokolov, V. V.;Zhilina, L. P.;Mishchenko, K. P. Title: Thermodynamics of Evaporation of Acetone at Different Temperatures Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 750-4,,,,
288.011078,19.99836,1.4438813,Liquid-Gas,Experimental - Rejected,NIST,Authors: Archibald, E. H.;Ure, W. Title: The vapor pressure of acetone at low temperatures Citation: Trans. R. Soc. Can.,1927,21,133,,,,,
288.141,19.3544,0.4004,Liquid-Gas,Experimental,NIST,Authors: Radulescu, D.;Alexa, M. Title: Vapor Pressure Measurements fr New Dynamic and Static Methods. The Applicability of the Reaction Isochore to the Measurement of the Latent Heat of Vaporization Citation: Bull. Soc. Chim. Romania,1938, 20A, 89-113,,,,,
288.330886,19.6237,0.0722,Liquid-Gas,Experimental,NIST,Authors: Sokolov, V. V.;Zhilina, L. P.;Mishchenko, K. P. Title: Thermodynamics of Evaporation of Acetone at Different Temperatures Citation: Zh. Prikl. Khim. (Leningrad),1963,36, 750-4,,,,
292.78821,24.2647,0.1347,Liquid-Gas,Experimental,NIST,Authors: Baughan, E. C.;Jones, A. L.;Stewart, K. Title: The absorption of organic vapours by thin films of nitrocellulose Citation: Proc. R. Soc. London, Ser. A,1954,225,478,,,
