Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,
383.62605,101.325,5.06625,Liquid-Gas,Experimental,NIST,Authors: Adams, R.;Marshall, J. R. Title: The Use of Platinum-Oxide Platinum Black in the Catalytic Reduction of Aromatic Hydrocarbons XVII. Citation: J. Am. Chem. Soc.,1928,50,1970,,,,,,,,,
383.62605,101.325,1.5705375,Liquid-Gas,Experimental,NIST,Authors: Zhuravlev, E. Z.;Zolotarevskaya, N. N.;Tupitsin, G. I.;Kutuzova, N. V.;Konstantinov, I. I. Title: Heats of mixing for isopropyl alcohol with some organic solvents Citation: Tr. Khim. Khim. Tekhnol.,1967, ,41,,,,,,
383.69,101.325,1.01325,Liquid-Gas,Experimental,NIST,Authors: Guo, B.;Bai, J.;Li, Y.;Xia, S.;Ma, P. Title: Isobaric vapor-liquid equilibrium for four binary systems of 3-methylthiophene Citation: Fluid Phase Equilib.,2012,320, 26-31,,,,,,
383.7,101.325,10.1325,Liquid-Gas,Experimental,NIST,Authors: Verveiko, V. N.;Mel'nikov, G. A.;Melikhov, Yu. F. Title: Accoustic and P-V-T study of halogenated benzenes and toluenes in a wide range of temperatures and pressures (to 600 MPa) Citation: Teplofiz. Svoistva Veshchestv Mater.,1991, , 5-16,,,,,,,,
383.706058,101.325,1.01325,Liquid-Gas,Experimental,NIST,Authors: Gibbons, L. C.;Thompson, J. F.;Reynolds, T. W.;Wright, J. I.;Chanan, H. H.;Lamberti, J. M.;Hipsher, H. F.;Karabinos, J. V. Title: The Purification and Physical Constants of Aromatic Compounds Citation: J. Am. Chem. Soc.,1946,68,1130,,,
383.712252,101.568,0.115,Liquid-Gas,Experimental,NIST,Authors: Myers, J. E.;Hershey, H. C.;Kay, W. B. Title: Isothermal p,x,t Relations, Activity Coefficients, and Excess Gibbs Free Energies for Heptamethyltrisiloxane + Toluene at 343.15, 363.15 and 383.15 K Citation: J. Chem. Thermodyn.,1979,11, 1019-28,,,
383.72225,101.32,0,Liquid-Gas,Experimental,NIST,Authors: Meeboer, B. Citation: Recommended Test Mixtures for Distillation Columns,1969, Eur- op. Fed. Chem. Eng., Zuiderweg, F. J., Ed., Inst. Chem. Eng.: London,,,,,,,
383.72225,101.325,10.1325,Liquid-Gas,Experimental,NIST,Authors: Sumer, K. M.;Thompson, A. R. Title: Refraction, dispersion, and densities of benzene, toluene, and xylene mixtures Citation: J. Chem. Eng. Data,1968,13, 30-34,,,,,
383.72606,101.325,2.533125,Liquid-Gas,Experimental,NIST,Authors: Marschner, R. F.;Cropper, W. P. Title: Hydrocarbon azeotropes of toluene Citation: Ind. Eng. Chem.,1949,41,1357,,,,,,,,,
383.742246,101,0.505,Liquid-Gas,Experimental,NIST,Authors: Jadot, R.;Fraiha, M. Title: Measurements and predictions of liquid heat capacities of some thermal fluids Citation: Int. J. Refrig.,1989,12, 198-203,,,,,,,,,
