Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,
330.4,0.02883,0.00289,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
333.08,0.03509,0.0011,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
333.3,0.03625,0.00363,Liquid-Gas,Experimental,NIST,Authors: Kulikov, D.,Verevkin, S. P.,Heintz, A. Title: Enthalpies of vaporization of a series of aliphatic alcohols Experimental results and values predicted by the ERAS-model Citation: Fluid Phase Equilib.,2001,192, 187-207,,,
343.19,0.07832,0.00197,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
343.19,0.07825,0.00196,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
349.360186,0.124,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
353.19,0.163,0.003,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
358.647399,0.235,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
359.623,3.3331,0.66662,Liquid-Gas,Experimental - Rejected,NIST,Authors: Petrov, A. D.,Sushchinskii, V. L.,Konoval'chikov, L. D. Citation: Zh. Obshch. Khim.,1955,25, 1566-71,,,
363.08,0.318,0.005,Liquid-Gas,Experimental,NIST,Authors: N'Guimbi, J.,Kasehgari, H.,Mokbel, I.,Jose, J. Title: Vapor pressure of primary alcohols at 0.3Pa to 1.5kPa Citation: Thermochim. Acta,1992,196, 367-77,
364.186158,0.339,0.01,Liquid-Gas,Experimental,NIST,Authors: Ambrose, D.,Ellender, J. H.,Sprake, C. H. S. Title: Thermodynamic Properties of Organic Oxygen Compounds. XXXV. Vapor Pressures of Aliphatic Alcohols Citation: J. Chem. Thermodyn.,1974,6,909,,,
