Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
186.012,7.69937,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
187.552,8.85287,0.02758,Liquid-Gas,Experimental,NIST,Authors: Wichterle, I.;Kobayashi, R. Title: Vapor-Liquid Equilibrium of Methane-Propane Systems at Low Temperatures and High Pressures Citation: J. Chem. Eng. Data,1972,17,04/09/26,,,,,,,,,,,,,
190.012,10.20449,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
190.253824,10.666,0,Liquid-Gas,Experimental,NIST,Authors: Ziegler, W. T. Title: The Vapor Pressures of Some Hydrocarbons in the Liquid and Solid State at Low Temperatures Citation: NBS Technical Note 4, 1-18 (1959),,,,,,,,,,,,,,,,
190.39388,13.3322,0.16,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
191.1942,11.5457,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
193.41,13.117,0.146,Liquid-Gas,Experimental,NIST,Authors: Calado, J. C. G.;Filipe, E. J. M.;Lopes, J. N. C. Title: Thermodynamics of liquid propane + cyclopropane Citation: Fluid Phase Equilib.,1997,1353, 249-257,,,,,,,,,,,,
194.0116,13.3589,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
194.195,12.7989,0.06666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Echols, L. S.;Gelus, E. Title: Semimicroanalysis of Liquid Hydrocarbon Mixtures by Multiisothermal Distillation Citation: Anal. Chem.,1947,19,668,,,,,,,,,,,,,
195.126,11.103,0.134,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kemp, J. D.;Egan, C. J. Title: Hindered Rotation of the Methyl Groups in Propane. The Heat Capacity, Vapor Pressure, Heats of Fusion and Vaporization of Propane. Entropy and Density of the Gas Citation: J. Am. Chem. Soc.,1938,60, 1521-5,,,,,,,,,,,
196.845,19.998,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: Vapor Pressures of Various Compounds at Low Temperatures Citation: U. S. Bur. Mines, Tech. Pap.,1916,142, 30pp,,,,,,,,,,,,
198.0112,17.2652,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
198.195,18.0785,0,Liquid-Gas,Experimental,NIST,Authors: Harteck, P.;Edse, R. Title: Vapor-pressure Measurement of Propane Citation: Z. Phys. Chem. Abt. A,1938,182,220,,,,,,,,,,,,,
198.195,22.1,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Schindler, D. L.;Swift, G. W.;Kurata, F. Title: More low temperature v-l design data Citation: Hydrocarbon Process.,1966,45, 205-10,,,,,,,,,,,,
199,18.993103,1.4719557,Liquid-Gas,Experimental,NIST,Authors: Perkins, R. A.;Ochoa, J. C. S.;Magee, J. W. Title: Thermodynamic Properties of Propane. II. Molar Heat Capacity at Constant Volume from (85 to 345) K with Pressures to 35 MPa Citation: J. Chem. Eng. Data,2009,54, 3192-3201,,,,,,,,,,,,
200,20.193,0.07,Liquid-Gas,Experimental,NIST,Authors: Glos, S.;Kleinrahm, R.;Wagner, W. Title: Measurement of the (p,q,T) relation of propane, propylene, n-butane, and isobutane in the temperature range from (95 to 340) K at pressures up to 12 MPa using an accurate two-sinker densimeter Citation: J. Chem. Thermodyn.,2004,36, 1037-1059,,,,,,,
201.495,26.6644,0.2666,Liquid-Gas,Experimental - Rejected,NIST,Authors: Burrell, G. A.;Robertson, I. W. Title: The Vapor Pressures of Propane, Propylene and Normal Butane at Low Temperatures Citation: J. Am. Chem. Soc.,1915,37,2188,,,,,,,,,,,,
202.0108,22.0915,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Yarbrough, D. W.;Tsai, C. H. Title: Vapor pressures and heats of vaporization for propane and propene from 50 K to the normal boiling point. Citation: Adv. Cryog. Eng.,1978,23,602,,,,,,,,,,,,,
