Temperature ( K ),vapor pressure ( kPa ),Uncertainty,Phase,Quality,Source,Set Label,,,,,,,,,,,,,,,,,,
358.1185577,3431.03,0,Liquid-Gas,Experimental,NIST,Authors: Teichman, J. Title: Pressure-Volume-Temperature Measurement with Liquid Propane and Benzene Citation: Dissertation, Ruhr-Univerisitat, Bochum (1978),,,,,,,,,,,,,,,
358.123,3439.98,0,Liquid-Gas,Experimental,NIST,Authors: Leach, S. Citation: J. Chim. Phys. Phys.-Chim. Biol.,1955,52,492,,,,,,,,,,,,,,
358.127555,3447.38,67.13,Liquid-Gas,Experimental,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relations of Binary Systems. The Propane - n-Alkane Systems. n-Butane and n-Pentane. Citation: J. Chem. Eng. Data,1970,15, 46-52,,,,,,,,,,,,,,
358.127555,3441.2,7,Liquid-Gas,Experimental,NIST,Authors: Uchytil, P.;Wichterle, I. Title: Liquid-Vapor critical region of the most volatile component of a ternary System I. Vapour-liquid equilibria in the ethane-propane-n-butane system system. Citation: Fluid Phase Equilib.,1983,15, 209-17,,,,,,,,,,,,,
359.94710897,3533.49,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
359.999,3554.47,0.29,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
360,3552.2,5.5,Liquid-Gas,Experimental,NIST,Authors: Kayukawa, Y.;Hasumoto, M.;Kano, Y.;Watanabe, K. Title: Liquid-Phase Thermodynamic Properties for Propane (1), n-Butane (2), and Isobutane (3) Citation: J. Chem. Eng. Data,2005,50, 556-564,,,,,,,,,
360,3554.45,0.29,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
360,3556.3,7.2,Liquid-Gas,Experimental,NIST,Authors: Miyamoto, H.;Uematsu, M. Title: Measurements of Vapor Pressures from 280 to 369 K and (p, rho, T) Properties from 340 to 400 K at Pressures to 200 MPa for Propane Citation: Int. J. Thermophys.,2006,27, 1052-1060,,,,,,,,,,,
361.23684798,3617.54,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
361.28683798,3656.29,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Clark Title: Molecular Thermodynamics and Phase Equilibria in the Propane-Methyl Chloride System Citation: Ph.D. Thesis, University of Illinois, Urbana, IL (1973),,,,,,,,,,,,,,,
362.338055734,3729.59,11.38,Liquid-Gas,Experimental - Rejected,NIST,Authors: Mousa, A. H. N. Title: The Physical properties of highly purified purified samnples of propane and n-hexane Citation: J. Chem. Thermodyn.,1977,9, 1063-5,,,,,,,,,,,,,,
362.60657398,3714.14,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
362.723910479,3792.12,20.6843,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
363,3810,8,Liquid-Gas,Experimental - Rejected,NIST,Authors: Aalto, M.;Liukkonen, S. Title: Bubble Point Pressures and Densities for the Binary Systems of Propane with Triacontane, Hexatriacontane, Tetracontane, Pentacontane, and Squalane at 353-373 K and 4.00-7.00 MPa Citation: J. Chem. Eng. Data,1996,41, 79-83,,,,,,,,,
363.15,3767,16,Liquid-Gas,Experimental,NIST,Authors: Im, J.;Lee, G.;Shin, M. S.;Lee, J.;Kim, H. Title: Vapor liquid equilibria of the 1,1,1-trifluoroethane (HFC-143a) + propane (HC-290) system Citation: Fluid Phase Equilib.,2006,248, 19-23,,,,,,,,
363.212748423,3850,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Glowka, S. Title: Liquid-vapour equlibira and thermodynamic functions of propane + sulphur dioxide and propane + dimethyl ether systems up to 300 c Citation: Bull. Acad. Pol. Sci.-Chim.,1972,20,163,,,,,,,,,,,,,,
363.378523345,3782.766,0,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
363.999,3822.43,0.29,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
364.999,3892.08,0.3,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
366.060924506,3725.62,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
366.45663333,3916.22,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hipkin, H. G. Title: Experimental Vapor-Liquid Equilibrium Data for Propane-Isobutane Citation: AIChE J.,1966,12,484,,,,,,,,,,,,,,
366.847146486,4136.85,20.6843,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
367.12557,4045,3.13,Liquid-Gas,Experimental,NIST,Authors: Thomas, R. H. P.;Harrison, R. H. Title: Pressure-Volume-Temperature Relations of Propane Citation: J. Chem. Eng. Data,1982,27,01/11/26,,,,,,,,,,,,,
368.001,4108.52,0.3,Liquid-Gas,Experimental,NIST,Authors: McLinden, M. O. Title: Thermodynamic Properties of Propane. I. p-?-T Behavior from (265 to 500) K with Pressures to 36 MPa Citation: J. Chem. Eng. Data,2009,54, 3181-3191,,,,,,,,,,,,,,
368.081343053,4119,8,Liquid-Gas,Experimental,NIST,Authors: Llovell, F.;Florusse, L. J.;Peters, C. J.;Vega, L. F. Title: Vapor-Liquid and Critical Behavior of Binary Systems of Hydrogen Chloride and n-Alkanes: Experimental Data and Soft-SAFT Modeling Citation: J. Phys. Chem. B,2007,111, 10180-10188,,,,,,,,,,,
368.165362,4108,164,Liquid-Gas,Experimental,NIST,Authors: Barber, J. R.;Kay, W. B.;Teja, A. S. Title: A study of the volumetric and phase behavior of binary systems: part II. vapor-liquid equilibria and azeotropic states of propane + perfluorocyclobutane mixtures. Citation: AIChE J.,1982,28,138,,,,,,,,,,,,
368.32533,4136.84,33.39,Liquid-Gas,Experimental,NIST,Authors: Kay, W. B. Title: Vapor-Liquid Equilibrium Relationships of Binary Systems. Propane- n-Alkane Systems, n-Hexane and n-Heptane Citation: J. Chem. Eng. Data,1971,16, 137-40,,,,,,,,,,,,,
368.854842268,4181.28,0,Liquid-Gas,Experimental,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
368.92254547,4184.3,6.5,Liquid-Gas,Experimental,NIST,Authors: Honda, Y.;Sato, T,;Uematsu, M. Title: Critical parameters for propane determined by the image analysis Citation: J. Chem. Thermodyn.,2008,40, 208-211,,,,,,,,,,,
369.25524398,4192.15,0,Liquid-Gas,Experimental,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
369.60517398,4207.87,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Clark Title: Molecular Thermodynamics and Phase Equilibria in the Propane-Methyl Chloride System Citation: Ph.D. Thesis, University of Illinois, Urbana, IL (1973),,,,,,,,,,,,,,,
369.62583135,4065.463,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Deschner, W. W.;Brown, G. G. Title: P-V-T Relations for Propane Citation: Ind. Eng. Chem.,1940,32, 836-840,,,,,,,,,,,,,
369.745046,4217.87,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
369.895016,4232.42,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
369.922122741,4260,20,Liquid-Gas,Experimental,NIST,Authors: Barber, J. R.;Kay, W. B.;Teja, A. S. Title: A study of the volumetric and phase behavior of binary systems: part I. critical properties of propane + perfluorocyclobutane mixtures. Citation: AIChE J.,1982,28, 134-8,,,,,,,,,,,,
369.922122741,4243,10,Liquid-Gas,Experimental,NIST,Authors: Brunner, E. Title: Fluid mixtures at high pressures II. Phase separation and critical phenomena of (ethane + an n-alkanol) and of (ethene + methanol) and (propane + methanol) Citation: J. Chem. Thermodyn.,1985,17,871,,,,,,,,,,,,,,
369.922122741,4244,5,Liquid-Gas,Experimental,NIST,Authors: Holcomb, C. D.;Magee, J. W.;Haynes, W. M. Title: Density Measurements on Natural Gas Liquids Citation: Research Report RR-147,1995, Gas Processors Association Project No. 916, Tulsa OK,,,,,,,,,,,,
369.922122741,4249.1699722,7.99791846,Liquid-Gas,Experimental,NIST,Authors: Kay, W. B.;Rambosek, G. M. Title: Liquid-Vapor Equilibrium Relations in Binary Systems. Propane-Hydrogen Sulfide Systems Citation: Ind. Eng. Chem.,1953,45, 221-6,,,,,,,,,,,,,
369.922122741,4253.73,4.94,Liquid-Gas,Experimental,NIST,Authors: Mousa, A. H. N. Title: The Physical properties of highly purified purified samnples of propane and n-hexane Citation: J. Chem. Thermodyn.,1977,9, 1063-5,,,,,,,,,,,,,,
369.922122741,4247.5,10,Liquid-Gas,Experimental,NIST,Authors: Sychev, V. V.;Vasserman, A. A.;Kozlov, A. D.;Tsymarny, V. A. Citation: Thermodynamic Properties of Propane,1989, Standards Publishing House: Moscow,,,,,,,,,,,,
369.922122741,4255,0,Liquid-Gas,Experimental,NIST,Authors: Weaver, D. L. Title: Determination of the Critical Temperature and Pressure of Binary Mixtures Composed of Polar and Nonpolar Components Citation: M.Sc. Thesis, Ohio State University, Columbus, OH (1973),,,,,,,,,,,,,,
369.922122741,4353,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Glowka, S. Title: Liquid-vapour equlibira and thermodynamic functions of propane + sulphur dioxide and propane + dimethyl ether systems up to 300 c Citation: Bull. Acad. Pol. Sci.-Chim.,1972,20,163,,,,,,,,,,,,,,
369.922122741,4914.2625,607.95,Liquid-Gas,Experimental - Rejected,NIST,Authors: Hainlen, A. Title: Propane and Ethane in the Liquid State. Citation: Justus Liebigs Ann. Chem.,1894,282, 229-45,,,,,,,,,,,,,,
369.922122741,4349.88225,101.31993,Liquid-Gas,Experimental - Rejected,NIST,Authors: Kreglewski, A. Title: The Pre- and Post-critical Region of One-component Systems VI. Isotherms and Isochores of Propane Citation: Rocz. Chem.,1953,27, 125-33,,,,,,,,,,,,,,
369.922122741,4559.625,405.3,Liquid-Gas,Experimental - Rejected,NIST,Authors: Lebeau, P. Citation: Bull. Soc. Chim. Fr.,1905,33,1137,,,,,,,,,,,,,,
369.922122741,4458.3,202.65,Liquid-Gas,Experimental - Rejected,NIST,Authors: Olszewski, K. Title: On the liquefaction of gases Citation: Philos. Mag.,1895,39,188,,,,,,,,,,,,,,
369.922122741,4289,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems Citation: Ind. Eng. Chem.,1940,32, 992-996,,,,,,,,,,,,,
369.922122741,4435.3835772,199.94796,Liquid-Gas,Experimental - Rejected,NIST,Authors: Sage, B. H.;Schaafsma, J. G.;Lacey, W. N. Title: Phase Equilibria in Hydrocarbon Systems: Pressure-Volume-Temperature Relations and Thermal Properties of Propane. Citation: Ind. Eng. Chem.,1934,26, 1218-1224,,,,,,,,,,,,
369.922122741,4385.07253,206.7738,Liquid-Gas,Experimental - Rejected,NIST,Authors: Scheeline, H. W.;Gilliland, E. R. Title: Vapor-Liquid Equilibrium in the System Propane-Isobutylene Citation: Ind. Eng. Chem.,1939,31,1050,,,,,,,,,,,,,
369.994996,4260.55,0,Liquid-Gas,Experimental - Rejected,NIST,Authors: Barber, J. R. Title: Intermolecular Forces in the Critical Azeotropic System Propane-perfluorobutane: Description of Forces in the Vapor Region via Second Virial Coeff. and the Liquid Region via Internal Pressure amd Inte Citation: Ph.D. Thesis, Ohio State University, Columbus, OH (1968),,,,,,,,,,,,,,
